,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
22,12/24/2008,Albury,15.3,30.9,0,,,N,33,ESE,NW,6,13,55,23,1011,1008.2,5,,20.9,29,No,0,No
23,12/25/2008,Albury,12.6,32.4,0,,,W,43,E,W,4,19,49,17,1012.9,1010.1,,,21.5,31.2,No,0,No
24,12/26/2008,Albury,16.2,33.9,0,,,WSW,35,SE,WSW,9,13,45,19,1010.9,1007.6,,1,23.2,33,No,0,No
25,12/27/2008,Albury,16.9,33,0,,,WSW,57,,W,0,26,41,28,1006.8,1003.6,,1,26.6,31.2,No,0,No
26,12/28/2008,Albury,20.1,32.7,0,,,WNW,48,N,WNW,13,30,56,15,1005.2,1001.7,,,24.6,32.1,No,0,No
27,12/29/2008,Albury,19.7,27.2,0,,,WNW,46,NW,WSW,19,30,49,22,1004.8,1004.2,,,21.6,26.1,No,1.2,Yes
28,12/30/2008,Albury,12.5,24.2,1.2,,,WNW,50,WSW,SW,11,22,78,70,1005.6,1003.4,8,8,12.5,18.2,Yes,0.8,No
29,12/31/2008,Albury,12,24.4,0.8,,,W,39,WNW,WNW,17,17,48,28,1006.1,1005.1,1,,16.9,22.7,No,0,No
30,1/1/2009,Albury,11.3,26.5,0,,,WNW,56,W,WNW,19,31,46,26,1004.5,1003.2,,,19.7,25.7,No,0,No
31,1/2/2009,Albury,9.6,23.9,0,,,W,41,WSW,SSW,19,11,44,22,1014.4,1013.1,,,14.9,22.1,No,0,No
32,1/3/2009,Albury,10.5,28.8,0,,,SSE,26,SSE,E,11,7,43,22,1018.7,1014.8,,,17.1,26.5,No,0,No
33,1/4/2009,Albury,12.3,34.6,0,,,WNW,37,SSE,NW,6,17,41,12,1015.1,1010.3,,,20.7,33.9,No,0,No
34,1/5/2009,Albury,12.9,35.8,0,,,WNW,41,ENE,NW,6,26,41,9,1012.6,1009.2,,,22.4,34.4,No,0,No
35,1/6/2009,Albury,13.7,37.9,0,,,W,52,SE,WNW,4,26,33,8,1010.9,1006.7,,,23.1,36.8,No,0,No
36,1/7/2009,Albury,16.1,38.9,0,,,W,57,E,W,6,30,34,12,1007,1002.7,,,25.2,38.4,No,0,No
37,1/8/2009,Albury,14,28.3,0,,,W,48,W,WSW,17,24,43,15,1011.9,1010.9,,,17.9,27.6,No,0,No
38,1/9/2009,Albury,12.5,28.4,0,,,NE,37,SSE,S,20,9,38,16,1017.8,1013.7,,,17.2,26.6,No,0,No
39,1/10/2009,Albury,17,30.8,0,,,NE,37,NNE,E,15,11,36,24,1013.4,1008.1,,,20.2,29.3,No,0,No
40,1/11/2009,Albury,16.9,32,0,,,S,31,SSE,N,13,17,52,31,1009.9,1006.8,,,22.8,30,No,0,No
41,1/12/2009,Albury,17.3,34.7,0,,,SW,35,SE,WSW,7,15,48,16,1014.1,1012.1,,,24.2,33.2,No,0,No
42,1/13/2009,Albury,17.2,37.7,0,,,NNW,35,SE,NW,7,17,51,19,1015.7,1010.9,,,24.3,35.7,No,0,No
43,1/14/2009,Albury,17.4,43,0,,,NW,39,SSE,SSW,7,17,40,8,1011.6,1006.9,,,25.6,41.5,No,0,No
44,1/15/2009,Albury,19.8,32.7,0,,,WNW,44,W,W,20,28,34,28,1008.4,1009.2,,,27.6,27.1,No,0,No
45,1/16/2009,Albury,14.9,26.7,0,,,SW,56,WSW,SW,20,31,46,20,1014.1,1012.7,,,18,25.5,No,0,No
46,1/17/2009,Albury,10.5,28.4,0,,,SE,33,SE,SW,19,11,35,16,1019.7,1017.4,,,16,25.8,No,0,No
47,1/18/2009,Albury,11.3,32.2,0,,,WNW,28,ENE,SSW,17,15,34,17,1019.7,1016.2,,,20.9,30.5,No,0,No
48,1/19/2009,Albury,13.9,36.6,0,,,WNW,39,SSE,NNE,2,15,39,10,1015.8,1010.6,,,22,34.4,No,0,No
49,1/20/2009,Albury,18.6,39.9,0,,,NNW,61,SSE,WNW,9,20,36,21,1010.1,1004.8,,,26.8,37.7,No,0.8,No
50,1/21/2009,Albury,19.3,38.1,0.8,,,NNW,61,NE,WSW,15,17,48,17,1009.6,1005.9,,,27.3,36.1,No,0.6,No
51,1/22/2009,Albury,24.4,34,0.6,,,NW,98,N,NNW,26,48,60,39,1005.3,997.8,4,1,26.1,33.1,No,6.4,Yes
52,1/23/2009,Albury,18.8,35.2,6.4,,,WNW,52,S,NW,6,28,43,28,1007.9,1003.9,,,22.8,33,Yes,0,No
53,1/24/2009,Albury,20.8,30.6,0,,,W,54,W,W,30,28,41,21,1005.4,1007.6,,,23.3,29.7,No,0,No
54,1/25/2009,Albury,14,34.3,0,,,WSW,24,ESE,SSE,7,13,44,10,1016.5,1014.6,,,21.2,32.1,No,0,No
55,1/26/2009,Albury,15.7,38.4,0,,,S,33,SSE,WSW,7,7,48,12,1017.7,1014.6,,,23.4,36.5,No,0,No
56,1/27/2009,Albury,18.5,38.2,0,,,NNE,31,SE,NNW,9,17,48,25,1017.8,1014.1,,,25.8,36.2,No,0,No
57,1/28/2009,Albury,20.4,40.7,0,,,N,37,E,NNE,7,13,45,15,1014.9,1011.6,,,28.2,39.2,No,0,No
58,1/29/2009,Albury,21.8,41.5,0,,,SW,24,ESE,S,6,11,38,13,1015.7,1011.8,,,29,40.1,No,0,No
59,1/30/2009,Albury,22.3,42.9,0,,,NNE,28,ESE,SE,9,11,37,11,1014.6,1010.2,,,29.2,41.2,No,0,No
60,1/31/2009,Albury,22,42.7,0,,,ESE,48,ESE,SW,4,4,33,11,1014.2,1010.5,,,29.9,42,No,0,No
61,2/1/2009,Albury,28,43.1,0,,,SW,83,SE,E,15,9,27,9,1012.5,1008.7,,,32.4,41.9,No,0.2,No
62,2/2/2009,Albury,24.4,38.3,0.2,,,SW,56,NE,NW,19,7,32,21,1011.7,1007.4,,,28.8,37.1,No,0,No
63,2/3/2009,Albury,21.5,37.7,0,,,,,N,,13,9,51,21,1009.2,1005.7,,,27.2,36.2,No,0,No
64,2/4/2009,Albury,21.7,36.9,0,,,,,,,11,11,53,26,1008.8,1004.7,,,25.5,35.2,No,0,No
65,2/5/2009,Albury,21.5,41.2,0,,,WSW,35,SSE,S,7,19,48,15,1005.9,1002.6,,,26.5,39.7,No,0,No
66,2/6/2009,Albury,23.5,42.2,0,,,W,37,SE,W,6,15,39,8,1008,1005,,,28.7,41.6,No,0,No
67,2/7/2009,Albury,22.3,44.8,0,,,NNW,59,SE,NW,9,33,36,11,1008.2,1003.8,,,29.6,43.4,No,0,No
68,2/8/2009,Albury,28.3,40.2,0,,,NW,52,N,W,9,22,20,19,1007,1006.5,,5,34.5,38.5,No,0.4,No
69,2/9/2009,Albury,18.4,31.2,0.4,,,SE,37,SW,WSW,7,11,66,31,1009.3,1007.8,7,8,18.7,29.4,No,0,No
70,2/10/2009,Albury,14.9,27.3,0,,,SSE,41,SSE,SE,20,13,50,30,1011.6,1008.5,,1,17.4,25.8,No,0,No
71,2/11/2009,Albury,13.5,26.7,0,,,SSE,46,SSE,E,19,11,45,24,1012.8,1011.1,,,16.7,24.9,No,0,No
72,2/12/2009,Albury,16.1,21.6,0,,,SE,46,SSE,NE,11,15,58,69,1017,1017.3,2,8,17,17.3,No,3,Yes
73,2/13/2009,Albury,14.6,29,3,,,SSE,41,SE,SSE,26,24,41,21,1023.3,1019.7,,,18,27.6,Yes,0,No
74,2/14/2009,Albury,12.4,29.2,0,,,NE,39,S,,7,0,37,18,1022.5,1016.4,,,18.3,28.5,No,0,No
75,2/15/2009,Albury,13.3,31.3,0,,,NNE,41,SSE,SSW,7,15,50,23,1016.2,1012.8,,,19.2,29.2,No,0,No
76,2/16/2009,Albury,17.2,31.1,0,,,E,35,SE,ESE,17,11,43,22,1017.7,1013.8,,,21.4,29.5,No,0,No
77,2/17/2009,Albury,12.5,28.8,0,,,N,31,SSE,ENE,7,11,46,17,1017.2,1013.5,,,18,27,No,0,No
78,2/18/2009,Albury,18,32,0,,,NW,31,ENE,SW,4,13,44,22,1012.4,1007.5,,,22.1,30.7,No,0,No
79,2/19/2009,Albury,16.2,34,0,,,WSW,48,SE,WSW,4,22,53,16,1007.8,1004.5,,,21,32.7,No,0,No
80,2/20/2009,Albury,18.7,29.1,0,,,SSW,41,NNW,SSE,7,17,45,39,1010.1,1010.8,,,21.5,26.8,No,0,No
81,2/21/2009,Albury,13.7,31.7,0,,,SSE,28,SSE,S,2,9,63,19,1012.5,1010.4,,,19.3,29.8,No,0,No
82,2/22/2009,Albury,15.5,33.2,0,,,NW,31,S,WNW,11,15,49,23,1015.6,1012.4,,,20.9,31.3,No,0,No
83,2/23/2009,Albury,14.3,34,0,,,NW,70,SE,NW,6,22,48,10,1013,1009.2,,,20.7,33.4,No,0,No
84,2/24/2009,Albury,12.9,29.6,0,,,WNW,46,SW,WNW,7,24,54,14,1014,1012.7,6,7,18.7,28.6,No,0,No
85,2/25/2009,Albury,8.9,31.9,0,,,WNW,43,,WSW,0,17,49,16,1016.6,1013.4,7,7,15,29.3,No,0,No
86,2/26/2009,Albury,15,32.7,0,,,ESE,26,ESE,S,15,2,43,19,1017.8,1015,,,20.7,30.5,No,0,No
87,2/27/2009,Albury,15.4,32.6,0,,,W,24,,S,0,6,53,25,1016.2,1012.6,,,20,30.8,No,0,No
88,2/28/2009,Albury,16,34.5,0,,,WSW,44,E,,6,,44,14,1007.5,1004.6,,,22.2,33.6,No,0,No
89,3/1/2009,Albury,12.8,30.3,0,,,W,30,W,WSW,4,13,53,27,1010.5,1008.7,,,17.3,28.1,No,0,No
90,3/2/2009,Albury,13.2,31.9,0,,,NNW,35,S,ENE,6,9,53,25,1014.1,1011.6,,,18,29.8,No,0,No
91,3/3/2009,Albury,18,31.1,0,,,WNW,52,NE,NNE,15,26,58,35,1014.7,1009,5,,23,29.2,No,0.2,No
92,3/4/2009,Albury,13.8,22.1,0.2,,,WNW,57,W,WNW,26,33,57,26,1014.5,1013.1,,,15.6,21.9,No,0,No
93,3/5/2009,Albury,11.5,22,0,,,SW,50,WSW,W,19,33,60,33,1013.7,1011.8,,,13.9,21.4,No,0,No
94,3/6/2009,Albury,7.6,24,0,,,WSW,30,,WNW,0,13,52,23,1014.5,1012,,,12.6,22,No,0,No
95,3/7/2009,Albury,8.3,27.9,0,,,W,37,S,W,4,20,58,22,1015.2,1012.4,,,13.3,27,No,0,No
96,3/8/2009,Albury,11,30.2,0,,,SSE,24,E,SSE,7,11,54,20,1017,1014.7,,,17.6,28.8,No,0,No
97,3/9/2009,Albury,13.8,31.8,0,,,NNE,24,SSE,NE,6,17,49,28,1019.7,1015.9,,,18.6,30.5,No,0,No
98,3/10/2009,Albury,15.5,32,0,,,NE,50,ESE,E,2,4,51,25,1019.5,1016.2,,,20.1,30.8,No,1.2,Yes
99,3/11/2009,Albury,18.4,30.5,1.2,,,NE,44,NE,N,15,19,57,23,1021.3,1018,,,21.5,29.6,Yes,0,No
100,3/12/2009,Albury,20.9,25.7,0,,,W,37,ENE,S,11,9,52,90,1019.5,1018.9,,8,22.2,18.8,No,5.8,Yes
101,3/13/2009,Albury,17.1,25.8,5.8,,,ENE,31,,S,0,13,82,68,1017.4,1014.7,8,,19,23.8,Yes,3,Yes
102,3/14/2009,Albury,16.4,27,3,,,SW,69,E,N,9,22,82,74,1012.7,1008,,4,19.9,19.7,Yes,11.6,Yes
103,3/15/2009,Albury,10,19.7,11.6,,,WNW,39,W,NW,11,17,62,41,1013.4,1012,,8,12.7,18.3,Yes,0,No
104,3/16/2009,Albury,8.8,21.9,0,,,W,39,S,WNW,2,20,78,34,1013.3,1011.6,,6,12.2,20.5,No,0,No
105,3/17/2009,Albury,8.4,25.3,0,,,WNW,35,SSE,WSW,9,17,78,34,1015.6,1013.2,,,12.1,23.9,No,0,No
106,3/18/2009,Albury,9.3,28,0,,,NW,52,SSE,NW,6,11,76,19,1017.4,1013.9,,,14.7,27.2,No,0,No
107,3/19/2009,Albury,11.3,30.1,0,,,WSW,24,S,SW,6,7,56,15,1016.3,1013.6,,,14.7,29.3,No,0,No
108,3/20/2009,Albury,11.5,33.5,0,,,SSE,22,NE,N,7,7,50,13,1016.5,1013.6,,,17.4,32.6,No,0,No
109,3/21/2009,Albury,13.8,33.6,0,,,NNW,28,,NNE,0,11,47,17,1017,1013.1,,2,18.8,33.5,No,0,No
110,3/22/2009,Albury,14.6,30,0,,,NE,37,E,NNE,4,19,56,30,1014.8,1012.7,3,1,18.1,29,No,0,No
111,3/23/2009,Albury,14.4,31.6,0,,,NW,37,,WNW,0,24,63,25,1013.7,1011.8,,,18.8,31.4,No,0,No
112,3/24/2009,Albury,10.8,31.9,0,,,S,48,SSE,WNW,6,20,62,20,1016.5,1014.4,,,15.4,30.7,No,0.4,No
113,3/25/2009,Albury,15.4,22.3,0.4,,,ENE,30,SSE,SSE,11,9,69,78,1017.4,1019.2,8,8,18.3,19.6,No,1.8,Yes
114,3/26/2009,Albury,13.3,29.8,1.8,,,WSW,33,,WNW,0,20,87,26,1019.1,1017.2,,6,16.2,29.2,Yes,0,No
115,3/27/2009,Albury,10.1,27.6,0,,,WNW,43,,W,0,11,63,30,1023,1020.7,,,16.5,26.8,No,0,No
116,3/28/2009,Albury,9.1,28.9,0,,,NNW,24,N,N,2,17,60,26,1023.8,1020.6,,,14,27.7,No,0,No
117,3/29/2009,Albury,10.4,31.2,0,,,S,22,,SE,0,6,60,18,1022.4,1019.1,,,16,29.9,No,0,No
118,3/30/2009,Albury,13.4,30.4,0,,,ENE,22,,SE,0,9,57,16,1023,1019.5,,,17.2,29.2,No,0,No
119,3/31/2009,Albury,12.3,29.9,0,,,WSW,26,S,SSW,2,13,61,25,1023.2,1019.5,,,17.1,28.6,No,0,No
120,4/1/2009,Albury,12.2,30.6,0,,,SE,22,,ENE,0,6,59,22,1022.6,1019.4,,,16.6,29.5,No,0,No
121,4/2/2009,Albury,14.3,32.1,0,,,NE,28,,ENE,0,11,59,30,1022.6,1018.4,,,18.4,30.9,No,8.6,Yes
122,4/3/2009,Albury,18.4,28.1,8.6,,,W,98,E,NNE,7,17,92,49,1018.8,1012.9,8,6,19,27.4,Yes,12.6,Yes
123,4/4/2009,Albury,10.7,21.4,12.6,,,W,43,,WSW,0,13,60,33,1019.8,1019.3,,,13.9,20.3,Yes,0,No
124,4/5/2009,Albury,7.8,21.7,0,,,WSW,31,E,NW,6,19,72,37,1020.4,1016.5,,,12.9,21.2,No,0,No
125,4/6/2009,Albury,8.1,21.4,0,,,W,35,SSE,WSW,13,19,58,20,1021.8,1019.6,,,13.8,20.9,No,0,No
126,4/7/2009,Albury,7.5,22.5,0,,,SE,28,S,S,7,7,55,27,1026.7,1023.5,,,13.3,21.6,No,0,No
127,4/8/2009,Albury,8.2,24,0,,,SSE,17,SSE,SSE,7,13,60,30,1027.1,1023.4,,,13.8,23.5,No,0,No
128,4/9/2009,Albury,8.1,25.7,0,,,ENE,22,ESE,S,9,13,67,27,1024.2,1019.6,,,15.1,25,No,0,No
129,4/10/2009,Albury,11.6,26.7,0,,,W,48,SE,NE,6,11,59,42,1021.5,1017.7,8,7,16.4,24.3,No,8.4,Yes
130,4/11/2009,Albury,13,24.9,8.4,,,W,46,S,E,6,11,75,47,1024.4,1020.3,8,6,18,24.4,Yes,6.2,Yes
131,4/12/2009,Albury,13.5,24.2,6.2,,,WSW,20,,SE,0,6,88,52,1024.1,1020.8,8,,15.4,23.1,Yes,0,No
132,4/13/2009,Albury,9.9,25.4,0,,,NNE,19,ENE,SSW,4,7,65,35,1023,1018.7,,,16.1,25,No,0,No
133,4/14/2009,Albury,12.2,25,0,,,WNW,30,,W,0,15,68,39,1016.3,1011.6,6,,16.2,24.6,No,0,No
134,4/15/2009,Albury,10.7,21.9,0,,,W,63,NW,W,26,31,44,27,1008.2,1009.8,2,,20.5,18.9,No,0,No
135,4/16/2009,Albury,3.5,20,0,,,W,31,,WNW,0,13,65,30,1016.3,1012.8,,,9.6,19.4,No,0,No
136,4/17/2009,Albury,6.6,21.6,0,,,WNW,26,ENE,W,6,11,59,39,1018.5,1016.8,5,1,12.6,21.6,No,0,No
137,4/18/2009,Albury,7,23.4,0,,,W,24,SSE,W,2,17,73,37,1022.8,1019.3,,,12.4,22.9,No,0,No
138,4/19/2009,Albury,11.2,23.9,0,,,SE,31,SE,SE,13,15,54,33,1022.7,1019.6,,,18,23.6,No,0,No
139,4/20/2009,Albury,7.4,22,0,,,SSE,28,SE,SE,2,7,58,29,1023.6,1020,,,14.1,21.3,No,0,No
140,4/21/2009,Albury,5.7,21.4,0,,,ESE,17,ENE,SSE,6,7,68,39,1025.2,1020.9,,,12.2,20.9,No,0,No
141,4/22/2009,Albury,6.2,22.7,0,,,ESE,17,,SW,0,7,73,33,1026,1021.6,,,11.2,22.3,No,0,No
142,4/23/2009,Albury,6,22.9,0,,,NE,33,,NE,0,20,68,34,1021.3,1015.7,,,12.9,22.6,No,0,No
143,4/24/2009,Albury,10.6,16.2,0,,,WNW,39,ESE,NNE,7,4,74,86,1008.9,1002.4,8,8,14.9,15.1,No,20,Yes
144,4/25/2009,Albury,12.9,15.8,20,,,W,70,WNW,NNW,19,15,83,89,1004.8,1000.9,8,8,13.3,14.5,Yes,21,Yes
145,4/26/2009,Albury,8.6,12.9,21,,,NNW,63,NW,WNW,26,31,77,62,1004,1003.3,8,8,9.5,11.6,Yes,3.2,Yes
146,4/27/2009,Albury,4.5,11.5,3.2,,,NW,26,N,NNW,9,13,82,79,1013.8,1013.5,8,8,7.6,9.4,Yes,4.8,Yes
147,4/28/2009,Albury,7.6,14.5,4.8,,,WNW,35,W,W,15,20,83,48,1018,1018.3,8,1,10.1,14,Yes,0,No
148,4/29/2009,Albury,5.4,12.2,0,,,SSE,19,SE,SSE,9,7,62,46,1023.1,1020.9,,8,8.2,12.1,No,0,No
149,4/30/2009,Albury,2.1,16.5,0,,,SW,19,,SW,0,7,70,38,1023.4,1021.5,,,7.9,16.1,No,0,No
150,5/1/2009,Albury,1.8,17,0,,,SW,19,,WSW,0,7,77,44,1026,1023.2,,,7.2,16.3,No,0,No
151,5/2/2009,Albury,7.2,19.2,0,,,SW,22,ENE,W,7,6,81,49,1026.9,1024,8,4,10.1,19.1,No,0,No
152,5/3/2009,Albury,4.6,18.9,0,,,S,15,N,SSE,4,7,75,51,1028.7,1025.9,,,10.6,18.5,No,0,No
153,5/4/2009,Albury,4.2,19.1,0,,,W,19,ENE,WSW,6,13,86,44,1029.8,1027.3,,,9.6,18.8,No,0,No
154,5/5/2009,Albury,5.2,18.8,0,,,ESE,15,,SE,0,7,71,47,1031.4,1028.1,,,10.3,18.4,No,0,No
155,5/6/2009,Albury,4.1,19.3,0,,,SW,20,ENE,WNW,6,7,82,49,1028.5,1024.6,,,10,19.2,No,0,No
156,5/7/2009,Albury,3.2,18.4,0,,,SW,20,SE,WNW,6,11,86,49,1026.2,1023.6,,,8.3,18.2,No,0,No
157,5/8/2009,Albury,4.3,19,0,,,W,15,,W,0,9,68,36,1028.8,1025.8,,,11,18.5,No,0,No
158,5/9/2009,Albury,3.7,20.5,0,,,W,17,,WSW,0,7,78,45,1026,1021.8,,,9.4,20.2,No,0,No
159,5/10/2009,Albury,5.4,19.5,0,,,SE,17,,SE,0,7,69,40,1025.1,1022.3,,,11.7,19.1,No,0,No
160,5/11/2009,Albury,4.3,17.7,0,,,ESE,15,NNW,S,6,7,89,53,1025.6,1022.2,8,,8.5,17.7,No,0,No
161,5/12/2009,Albury,3.6,18.5,0,,,W,26,ENE,WNW,4,17,81,49,1022.3,1018.5,,,9.1,18,No,0,No
162,5/13/2009,Albury,3.6,15.1,0,,,WNW,28,SE,W,4,17,86,61,1018.4,1015.7,,8,7.5,14.6,No,0,No
163,5/14/2009,Albury,6.9,16.3,0,,,WNW,35,WNW,WNW,17,19,77,59,1015.3,1013.1,8,8,10.3,15.3,No,0,No
164,5/15/2009,Albury,10.3,16.6,0,,,WNW,54,NW,NW,13,19,82,63,1015,1011,8,7,12.9,15.9,No,1.8,Yes
165,5/16/2009,Albury,12.4,16.4,1.8,,,W,52,W,WSW,22,24,82,54,1011.8,1013.4,8,8,13,14.5,Yes,0,No
166,5/17/2009,Albury,3,15.6,0,,,W,20,E,E,6,9,83,61,1022.5,1019.3,4,,7,14.7,No,0,No
167,5/18/2009,Albury,2.6,19.7,0,,,E,13,,ENE,0,4,82,34,1024.7,1021.2,,,8.8,18.7,No,0,No
168,5/19/2009,Albury,3.7,19.1,0,,,SSE,19,,SSE,0,11,87,51,1023.6,1019.9,,,7.4,18.9,No,0,No
169,5/20/2009,Albury,5.1,18.6,0,,,E,13,SSE,ENE,2,9,75,57,1022.8,1020.5,7,7,12.4,18,No,0,No
170,5/21/2009,Albury,4.4,19.8,0,,,SE,20,,SE,0,7,81,48,1025.2,1022.3,,,9.4,19.1,No,0,No
171,5/22/2009,Albury,4.7,19.8,0,,,SE,24,S,SE,4,19,75,43,1025.2,1021.4,,,10.1,19.6,No,0,No
172,5/23/2009,Albury,6.2,22.9,0,,,E,30,NE,SE,6,9,71,37,1022.2,1019.4,,,11.9,21.7,No,0,No
173,5/24/2009,Albury,6.7,21.1,0,,,SE,20,,SE,0,11,69,43,1025,1022.1,,,12.5,20.8,No,0,No
174,5/25/2009,Albury,9.3,20.3,0,,,NE,31,SE,NE,9,22,77,50,1024.6,1019.7,2,8,11.6,19.5,No,4.2,Yes
175,5/26/2009,Albury,11.6,18.1,4.2,,,E,19,E,SSE,2,6,97,74,1021.4,1019.2,8,3,13.6,17.4,Yes,0.8,No
176,5/27/2009,Albury,8,16.2,0.8,,,W,20,,WSW,0,11,99,58,1021.7,1019.3,8,,10.1,15.6,No,0,No
177,5/28/2009,Albury,2.6,15.7,0,,,SSE,13,,S,0,2,91,48,1023.4,1021.6,,,7.1,15.3,No,0,No
178,5/29/2009,Albury,2.2,16.5,0,,,ESE,33,,SE,0,19,67,44,1025.6,1024,,,10.2,15.9,No,0,No
179,5/30/2009,Albury,2.2,16.8,0,,,SE,26,,SE,0,15,65,44,1030.3,1028.5,,,9.6,16.7,No,0,No
180,5/31/2009,Albury,1.7,17.1,0,,,NW,44,,SE,0,9,73,46,1034.1,1029.9,,,8,16.8,No,1.2,Yes
181,6/1/2009,Albury,8,14.3,1.2,,,SE,13,,,0,0,88,75,1031.9,1029.2,8,8,9.2,14,Yes,1.4,Yes
182,6/2/2009,Albury,8.4,13.4,1.4,,,SE,13,,ESE,0,7,78,75,1029.3,1026.2,8,8,10.6,13.4,Yes,4.8,Yes
183,6/3/2009,Albury,10.6,14.3,4.8,,,SE,13,ENE,SE,6,9,85,97,1023.5,1020.4,8,8,12.4,13,Yes,8,Yes
184,6/4/2009,Albury,8.9,17.4,8,,,ENE,13,NW,E,2,4,99,58,1021,1017.5,8,7,11.3,16.5,Yes,0,No
185,6/5/2009,Albury,2.8,16.1,0,,,W,20,NNE,W,4,11,86,57,1017.9,1015.1,,,7.6,15.6,No,0.2,No
186,6/6/2009,Albury,1.7,10.5,0.2,,,ESE,11,E,,4,0,99,91,1015.2,1011.1,8,8,4.7,10.2,No,14.4,Yes
187,6/7/2009,Albury,4.7,11.6,14.4,,,NNW,30,NNW,NNW,6,17,93,80,1007.5,1006.3,8,8,10,11.5,Yes,4.6,Yes
188,6/8/2009,Albury,9,12,4.6,,,WNW,33,WNW,WNW,9,26,88,79,1009.6,1008.7,8,8,10.3,11.4,Yes,2,Yes
189,6/9/2009,Albury,6.3,8.8,2,,,W,43,NNW,WNW,13,13,92,95,1011.1,1008.3,8,8,6.8,7.9,Yes,5.6,Yes
190,6/10/2009,Albury,3,10.5,5.6,,,WNW,37,W,WSW,15,22,77,56,1017.6,1018.4,,4,4.9,9.7,Yes,0,No
191,6/11/2009,Albury,-2,9.6,0,,,SE,13,,ESE,0,6,84,72,1025.1,1023,,1,2.2,8.8,No,0,No
192,6/12/2009,Albury,-1.3,8.2,0,,,ESE,15,E,SSE,6,6,99,72,1025.7,1022.2,8,7,1.9,7.9,No,0,No
